,Year,Population,Country,GDP per capita (OWiD),Government Expenditure (IMF & Wiki),Region,Subregion
0,2003,22645136.0,Afghanistan,842.8052,14.06612913,Asia,Southern Asia
1,2004,23553554.0,Afghanistan,869.03925,15.6573216,Asia,Southern Asia
2,2005,24411196.0,Afghanistan,964.4081,17.20629674,Asia,Southern Asia
3,2006,25442946.0,Afghanistan,1057.0966,21.53552863,Asia,Southern Asia
4,2007,25903306.0,Afghanistan,1259.9967,21.99190354,Asia,Southern Asia
5,2008,26427204.0,Afghanistan,1319.6074,21.54948714,Asia,Southern Asia
6,2009,27385310.0,Afghanistan,1557.3207,21.86447458,Asia,Southern Asia
7,2010,28189672.0,Afghanistan,1627.6716,21.11169652,Asia,Southern Asia
8,2011,29249156.0,Afghanistan,1792.0,22.9868095,Asia,Southern Asia
9,1997,3253721.0,Albania,3526.9856,37.17889666,Europe,Southern Europe
10,1998,3232185.0,Albania,3873.373,43.26433453,Europe,Southern Europe
11,1999,3208265.0,Albania,4432.0425,42.38211984,Europe,Southern Europe
12,2000,3182027.0,Albania,4808.4795,38.47335767,Europe,Southern Europe
13,2001,3153615.0,Albania,5285.809,36.26489263,Europe,Southern Europe
14,2002,3123554.0,Albania,5608.9624,34.89083729,Europe,Southern Europe
15,2003,3092993.0,Albania,6004.645,32.99615023,Europe,Southern Europe
16,2004,3062629.0,Albania,6419.8706,33.19105055,Europe,Southern Europe
17,2005,3032636.0,Albania,6858.4673,31.49977819,Europe,Southern Europe
18,2006,3003391.0,Albania,7347.33,32.18591059,Europe,Southern Europe
19,2007,2976089.0,Albania,7866.1577,31.92286627,Europe,Southern Europe
20,2008,2951690.0,Albania,8522.13,34.70968038,Europe,Southern Europe
21,2009,2930553.0,Albania,8859.472,36.54311026,Europe,Southern Europe
22,2010,2913402.0,Albania,9222.973,33.38815055,Europe,Southern Europe
23,2011,2900660.0,Albania,9484.0,31.65025311,Europe,Southern Europe
24,1990,25518074.0,Algeria,4697.0,27.33405483,Africa,Northern Africa
25,1991,26133906.0,Algeria,4708.232,29.60451532,Africa,Northern Africa
26,1992,26748302.0,Algeria,4850.223,30.87610904,Africa,Northern Africa
27,1993,27354326.0,Algeria,4816.924,35.09082779,Africa,Northern Africa
28,1994,27937006.0,Algeria,4856.9854,33.81625656,Africa,Northern Africa
29,1995,28478024.0,Algeria,5142.384,32.48330416,Africa,Northern Africa
30,1996,28984640.0,Algeria,5451.6343,31.65634241,Africa,Northern Africa
31,1997,29476030.0,Algeria,5638.48,34.33483203,Africa,Northern Africa
32,1998,29924664.0,Algeria,6069.7773,34.85374462,Africa,Northern Africa
33,1999,30346086.0,Algeria,6421.5083,35.65793028,Africa,Northern Africa
34,2000,30774624.0,Algeria,6834.5537,32.50571117,Africa,Northern Africa
35,2001,31200984.0,Algeria,7218.2456,34.74164321,Africa,Northern Africa
36,2002,31624700.0,Algeria,7814.8384,37.31860794,Africa,Northern Africa
37,2003,32055882.0,Algeria,8590.178,34.37208461,Africa,Northern Africa
38,2004,32510184.0,Algeria,9182.294,32.15125791,Africa,Northern Africa
39,2005,32956690.0,Algeria,9969.623,28.10458873,Africa,Northern Africa
40,2006,33435082.0,Algeria,10385.779,29.64703918,Africa,Northern Africa
41,2007,33983836.0,Algeria,10974.742,34.15584302,Africa,Northern Africa
42,2008,34569592.0,Algeria,11475.002,38.39140281,Africa,Northern Africa
43,2009,35196040.0,Algeria,11907.021,42.55493453,Africa,Northern Africa
44,2010,35856348.0,Algeria,12587.744,37.19326647,Africa,Northern Africa
45,2011,36543548.0,Algeria,13204.0,40.68145846,Africa,Northern Africa
46,2012,37260568.0,Algeria,13392.944,37.85485924141046,Africa,Northern Africa
47,2013,38000628.0,Algeria,13508.265,38.1981363299613,Africa,Northern Africa
48,2014,38760168.0,Algeria,13760.384,38.4470392645879,Africa,Northern Africa
49,2015,39543148.0,Algeria,14007.894,38.60263378058427,Africa,Northern Africa
50,2016,40339328.0,Algeria,14198.272,38.66491987795044,Africa,Northern Africa
51,2017,41136548.0,Algeria,14149.915,38.633684394082735,Africa,Northern Africa
52,2018,41927008.0,Algeria,14083.772,38.50909801468538,Africa,Northern Africa
53,2019,42705372.0,Algeria,14000.279,38.291203216657806,Africa,Northern Africa
54,2020,43451668.0,Algeria,13086.293,37.98,Africa,Northern Africa
55,2000,16394067.0,Angola,2013.6362,55.04505882,Africa,Sub-Saharan Africa
56,2001,16941584.0,Angola,2162.485,46.9185658,Africa,Sub-Saharan Africa
57,2002,17516140.0,Angola,2522.6719,41.0441097,Africa,Sub-Saharan Africa
58,2003,18124346.0,Angola,2711.9282,44.98059152,Africa,Sub-Saharan Africa
59,2004,18771128.0,Angola,3064.2986,38.04106483,Africa,Sub-Saharan Africa
60,2005,19450962.0,Angola,3708.7705,36.71002702,Africa,Sub-Saharan Africa
61,2006,20162338.0,Angola,4592.3374,39.94863809,Africa,Sub-Saharan Africa
62,2007,20909692.0,Angola,5773.5483,42.32446079,Africa,Sub-Saharan Africa
63,2008,21691524.0,Angola,6743.748,57.33614396,Africa,Sub-Saharan Africa
64,2009,22507674.0,Angola,7087.604,43.63790943,Africa,Sub-Saharan Africa
65,2010,23364196.0,Angola,7520.6655,39.11530214,Africa,Sub-Saharan Africa
66,2011,24259120.0,Angola,8016.0,39.55557754,Africa,Sub-Saharan Africa
67,1880,2456365.0,Argentina,2557.0,10.18703,Americas,Latin America and the Caribbean
68,1881,2534824.0,Argentina,2541.0,10.608,Americas,Latin America and the Caribbean
69,1882,2615789.0,Argentina,3108.0,12.98165,Americas,Latin America and the Caribbean
70,1883,2699340.0,Argentina,3373.0,12.59537,Americas,Latin America and the Caribbean
71,1884,2785560.0,Argentina,3486.0,12.52486,Americas,Latin America and the Caribbean
72,1885,2874534.0,Argentina,3904.0,11.0642,Americas,Latin America and the Caribbean
73,1886,2966350.0,Argentina,3771.0,11.82265,Americas,Latin America and the Caribbean
74,1887,3061098.0,Argentina,3841.0,9.36557,Americas,Latin America and the Caribbean
75,1888,3158873.0,Argentina,4219.0,9.09684,Americas,Latin America and the Caribbean
76,1889,3260729.0,Argentina,4288.0,15.48328,Americas,Latin America and the Caribbean
77,1890,3366831.0,Argentina,3851.0,10.35413,Americas,Latin America and the Caribbean
78,1891,3477345.0,Argentina,3631.0,14.39886,Americas,Latin America and the Caribbean
79,1892,3592446.0,Argentina,4251.0,10.71358,Americas,Latin America and the Caribbean
80,1893,3712318.0,Argentina,4409.0,9.64148,Americas,Latin America and the Caribbean
81,1894,3836189.0,Argentina,4968.0,10.10343,Americas,Latin America and the Caribbean
82,1895,3964194.0,Argentina,5384.0,9.74488,Americas,Latin America and the Caribbean
83,1896,4096469.0,Argentina,5716.0,10.75656,Americas,Latin America and the Caribbean
84,1897,4233159.0,Argentina,4500.0,11.6383,Americas,Latin America and the Caribbean
85,1898,4374409.0,Argentina,4741.0,19.52999,Americas,Latin America and the Caribbean
86,1899,4524892.0,Argentina,5412.0,11.46543,Americas,Latin America and the Caribbean
87,1900,4685089.0,Argentina,4583.0,11.49677,Americas,Latin America and the Caribbean
88,1901,4855502.0,Argentina,4591.0,11.40432,Americas,Latin America and the Caribbean
89,1902,5036658.0,Argentina,4331.0,12.62946,Americas,Latin America and the Caribbean
90,1903,5229108.0,Argentina,4769.0,11.0266,Americas,Latin America and the Caribbean
91,1904,5428911.0,Argentina,5086.0,10.09434,Americas,Latin America and the Caribbean
92,1905,5636349.0,Argentina,5545.0,12.44833,Americas,Latin America and the Caribbean
93,1906,5851713.0,Argentina,5608.0,9.3052,Americas,Latin America and the Caribbean
94,1907,6075305.0,Argentina,5514.0,9.29502,Americas,Latin America and the Caribbean
95,1908,6307441.0,Argentina,5829.0,8.21167,Americas,Latin America and the Caribbean
96,1909,6532092.0,Argentina,5896.0,10.89784,Americas,Latin America and the Caribbean
97,1910,6748544.0,Argentina,6092.0,10.32292,Americas,Latin America and the Caribbean
98,1911,6956048.0,Argentina,5971.0,10.53783,Americas,Latin America and the Caribbean
99,1912,7153812.0,Argentina,6223.0,9.05101,Americas,Latin America and the Caribbean
100,1913,7341005.0,Argentina,6052.0,8.9581,Americas,Latin America and the Caribbean
101,1914,7533097.0,Argentina,5263.0,10.39838,Americas,Latin America and the Caribbean
102,1915,7730214.0,Argentina,5171.0,9.01136,Americas,Latin America and the Caribbean
103,1916,7932490.0,Argentina,4927.0,8.17235,Americas,Latin America and the Caribbean
104,1917,8140058.0,Argentina,4447.0,7.79627,Americas,Latin America and the Caribbean
105,1918,8354021.0,Argentina,5177.0,6.19455,Americas,Latin America and the Caribbean
106,1919,8579951.0,Argentina,5271.0,6.13742,Americas,Latin America and the Caribbean
107,1920,8818354.0,Argentina,5536.0,5.68471,Americas,Latin America and the Caribbean
108,1921,9069751.0,Argentina,5533.0,7.42431,Americas,Latin America and the Caribbean
109,1922,9334686.0,Argentina,5796.0,8.48253,Americas,Latin America and the Caribbean
110,1923,9613722.0,Argentina,6213.0,7.76156,Americas,Latin America and the Caribbean
111,1924,9901098.0,Argentina,6464.0,7.34608,Americas,Latin America and the Caribbean
112,1925,10197065.0,Argentina,6247.0,7.80826,Americas,Latin America and the Caribbean
113,1926,10501879.0,Argentina,6366.0,8.45314,Americas,Latin America and the Caribbean
114,1927,10815805.0,Argentina,6625.0,11.02485,Americas,Latin America and the Caribbean
115,1928,11139114.0,Argentina,6840.0,9.40674,Americas,Latin America and the Caribbean
116,1929,11443159.0,Argentina,6961.0,9.78045,Americas,Latin America and the Caribbean
117,1930,11726853.0,Argentina,6503.0,11.39895,Americas,Latin America and the Caribbean
118,1931,11989069.0,Argentina,5917.0,12.31859,Americas,Latin America and the Caribbean
119,1932,12228636.0,Argentina,5614.0,12.51339,Americas,Latin America and the Caribbean
120,1933,12444339.0,Argentina,5772.0,11.75764,Americas,Latin America and the Caribbean
121,1934,12663847.0,Argentina,6129.0,10.70685,Americas,Latin America and the Caribbean
122,1935,12887227.0,Argentina,6296.0,10.12881,Americas,Latin America and the Caribbean
123,1936,13114548.0,Argentina,6236.0,9.96151,Americas,Latin America and the Caribbean
124,1937,13345878.0,Argentina,6575.0,9.85794,Americas,Latin America and the Caribbean
125,1938,13581288.0,Argentina,6491.0,10.51124,Americas,Latin America and the Caribbean
126,1939,13825464.0,Argentina,6612.0,11.4533,Americas,Latin America and the Caribbean
127,1940,14078649.0,Argentina,6633.0,10.43441,Americas,Latin America and the Caribbean
128,1941,14341093.0,Argentina,6861.0,10.06561,Americas,Latin America and the Caribbean
129,1942,14613051.0,Argentina,6829.0,9.79165,Americas,Latin America and the Caribbean
130,1943,14894786.0,Argentina,6666.0,10.80037,Americas,Latin America and the Caribbean
131,1944,15181952.0,Argentina,7299.0,12.43508,Americas,Latin America and the Caribbean
132,1945,15474655.0,Argentina,6943.0,12.80277,Americas,Latin America and the Caribbean
133,1946,15773001.0,Argentina,7436.0,10.86969,Americas,Latin America and the Caribbean
134,1947,16077098.0,Argentina,8112.0,10.137616,Americas,Latin America and the Caribbean
135,1948,16387059.0,Argentina,8372.0,13.606398,Americas,Latin America and the Caribbean
136,1949,16700599.0,Argentina,8045.0,12.560195,Americas,Latin America and the Caribbean
137,1950,17017748.0,Argentina,7949.0,11.943038,Americas,Latin America and the Caribbean
138,1951,17354614.0,Argentina,8086.0,12.669719,Americas,Latin America and the Caribbean
139,1952,17693856.0,Argentina,7519.0,12.689189,Americas,Latin America and the Caribbean
140,1953,18032748.0,Argentina,7769.0,11.78423,Americas,Latin America and the Caribbean
141,1954,18369248.0,Argentina,7938.0,11.793253,Americas,Latin America and the Caribbean
142,1955,18700684.0,Argentina,8348.0,11.033012,Americas,Latin America and the Caribbean
143,1956,19031200.0,Argentina,8424.0,10.796032,Americas,Latin America and the Caribbean
144,1957,19363792.0,Argentina,8705.0,9.09198,Americas,Latin America and the Caribbean
145,1958,19695358.0,Argentina,9083.0,13.902325,Americas,Latin America and the Caribbean
146,1959,20024528.0,Argentina,8354.0,14.156982,Americas,Latin America and the Caribbean
147,1960,20349748.0,Argentina,8861.0,11.812224,Americas,Latin America and the Caribbean
148,1961,20680658.0,Argentina,9344.0,12.707059,Americas,Latin America and the Caribbean
149,1962,21020364.0,Argentina,9049.0,11.901185,Americas,Latin America and the Caribbean
150,1963,21364018.0,Argentina,8695.0,11.787588,Americas,Latin America and the Caribbean
151,1964,21708488.0,Argentina,9446.0,12.595531,Americas,Latin America and the Caribbean
152,1965,22053662.0,Argentina,10155.0,12.117183,Americas,Latin America and the Caribbean
153,1966,22403120.0,Argentina,10076.0,12.590199,Americas,Latin America and the Caribbean
154,1967,22757014.0,Argentina,10200.0,13.340315,Americas,Latin America and the Caribbean
155,1968,23112976.0,Argentina,10485.0,13.193254,Americas,Latin America and the Caribbean
156,1969,23472030.0,Argentina,11217.0,15.1355,Americas,Latin America and the Caribbean
157,1970,23842804.0,Argentina,11639.0,15.0816,Americas,Latin America and the Caribbean
158,1971,24223380.0,Argentina,12003.0,15.33861,Americas,Latin America and the Caribbean
159,1972,24612798.0,Argentina,12170.0,15.4068,Americas,Latin America and the Caribbean
160,1973,25020592.0,Argentina,12691.0,16.65404,Americas,Latin America and the Caribbean
161,1974,25449752.0,Argentina,13284.0,20.1728,Americas,Latin America and the Caribbean
162,1975,25875562.0,Argentina,12946.0,17.72757,Americas,Latin America and the Caribbean
163,1976,26290258.0,Argentina,12696.0,14.19339,Americas,Latin America and the Caribbean
164,1977,26713780.0,Argentina,13236.0,13.506911,Americas,Latin America and the Caribbean
165,1978,27146124.0,Argentina,12444.0,16.39963,Americas,Latin America and the Caribbean
166,1979,27584138.0,Argentina,13114.0,16.12898,Americas,Latin America and the Caribbean
167,1980,28024808.0,Argentina,13080.0,16.58057,Americas,Latin America and the Caribbean
168,1981,28471284.0,Argentina,12125.0,19.90651,Americas,Latin America and the Caribbean
169,1982,28922768.0,Argentina,11550.0,20.37538,Americas,Latin America and the Caribbean
170,1983,29377144.0,Argentina,11775.0,16.44152,Americas,Latin America and the Caribbean
171,1984,29832200.0,Argentina,11837.0,15.1568,Americas,Latin America and the Caribbean
172,1985,30287120.0,Argentina,10895.0,17.08956,Americas,Latin America and the Caribbean
173,1986,30748332.0,Argentina,11515.0,15.55879,Americas,Latin America and the Caribbean
174,1987,31216450.0,Argentina,11633.0,15.27152,Americas,Latin America and the Caribbean
175,1988,31690790.0,Argentina,11244.0,13.264507,Americas,Latin America and the Caribbean
176,1989,32165770.0,Argentina,10393.0,11.944064,Americas,Latin America and the Caribbean
177,1990,32637658.0,Argentina,10254.0,11.691373,Americas,Latin America and the Caribbean
178,1991,33105766.0,Argentina,11223.984,12.318349,Americas,Latin America and the Caribbean
179,1992,33568280.0,Argentina,12267.084,13.69316,Americas,Latin America and the Caribbean
180,1993,34027240.0,Argentina,12926.795,14.39733,Americas,Latin America and the Caribbean
181,1994,34488696.0,Argentina,13571.38,15.41488,Americas,Latin America and the Caribbean
182,1995,34946116.0,Argentina,13086.036,16.0295,Americas,Latin America and the Caribbean
183,1996,35389360.0,Argentina,13715.227,15.63246,Americas,Latin America and the Caribbean
184,1997,35815968.0,Argentina,14722.6455,27.54089,Americas,Latin America and the Caribbean
185,1998,36233196.0,Argentina,15185.959,28.48897,Americas,Latin America and the Caribbean
186,1999,36653032.0,Argentina,14577.832,31.87244,Americas,Latin America and the Caribbean
187,2000,37070772.0,Argentina,14368.942,32.26813,Americas,Latin America and the Caribbean
188,2001,37480492.0,Argentina,13651.981,34.40069,Americas,Latin America and the Caribbean
189,2002,37885024.0,Argentina,12094.772,55.7023,Americas,Latin America and the Caribbean
190,2003,38278164.0,Argentina,13088.565,38.04403,Americas,Latin America and the Caribbean
191,2004,38668796.0,Argentina,14183.226,40.17721,Americas,Latin America and the Caribbean
192,2005,39070504.0,Argentina,15344.157,37.19302,Americas,Latin America and the Caribbean
193,2006,39476856.0,Argentina,16490.473,35.85573,Americas,Latin America and the Caribbean
194,2007,39876116.0,Argentina,17891.943,38.14186,Americas,Latin America and the Caribbean
195,2008,40273768.0,Argentina,18520.305,37.77452,Americas,Latin America and the Caribbean
196,2009,40684344.0,Argentina,17328.977,41.74966,Americas,Latin America and the Caribbean
197,2010,41100124.0,Argentina,18979.992,42.00562,Americas,Latin America and the Caribbean
198,2011,41520736.0,Argentina,20003.0,43.26559,Americas,Latin America and the Caribbean
199,2012,41952364.0,Argentina,19573.963,39.8840140407428,Americas,Latin America and the Caribbean
200,2013,42388268.0,Argentina,19821.643,40.344443830749704,Americas,Latin America and the Caribbean
201,2014,42824064.0,Argentina,19112.232,40.73502751643926,Americas,Latin America and the Caribbean
202,2015,43257064.0,Argentina,19423.666,41.057116930471594,Americas,Latin America and the Caribbean
203,2016,43668236.0,Argentina,18819.643,41.31071207284671,Americas,Latin America and the Caribbean
204,2017,44054616.0,Argentina,19150.52,41.496225984406024,Americas,Latin America and the Caribbean
205,2018,44413592.0,Argentina,18460.87,41.6126449279279,Americas,Latin America and the Caribbean
206,2019,44745516.0,Argentina,17912.637,41.66056959979257,Americas,Latin America and the Caribbean
207,2020,45036032.0,Argentina,15975.839,41.64,Americas,Latin America and the Caribbean
208,1870,1793208.0,Argentina,2340.0,8.56,Americas,Latin America and the Caribbean
209,1871,1850807.0,Argentina,2406.102658929216,8.502446069345037,Americas,Latin America and the Caribbean
210,1872,1910088.0,Argentina,2483.9663073382553,8.446131919032968,Americas,Latin America and the Caribbean
211,1873,1971098.0,Argentina,2566.5226652370156,8.390908363361149,Americas,Latin America and the Caribbean
212,1874,2034058.0,Argentina,2609.5407666786623,8.337077170393352,Americas,Latin America and the Caribbean
213,1875,2099028.0,Argentina,2606.0,8.28448575776845,Americas,Latin America and the Caribbean
214,1876,2166073.0,Argentina,2611.0,8.23313412548645,Americas,Latin America and the Caribbean
215,1877,2235260.0,Argentina,2820.0,8.182886683784501,Americas,Latin America and the Caribbean
216,1878,2306657.0,Argentina,2619.0,8.13401800884677,Americas,Latin America and the Caribbean
217,1879,2380335.0,Argentina,2664.0,8.086389114251936,Americas,Latin America and the Caribbean
218,1996,3298903.0,Armenia,4811.4897,2.61232394,Asia,Western Asia
219,1997,3271422.0,Armenia,4836.0444,2.698103918,Asia,Western Asia
220,1998,3240550.0,Armenia,4994.053,2.018776308,Asia,Western Asia
221,1999,3206033.0,Armenia,5000.4526,2.009734833,Asia,Western Asia
222,2000,3168525.0,Armenia,5139.8257,1.679382481,Asia,Western Asia
223,2001,3133138.0,Armenia,5457.5103,1.236779227,Asia,Western Asia
224,2002,3105040.0,Armenia,6082.146,0.810408539,Asia,Western Asia
225,2003,3084107.0,Armenia,6743.241,0.688062304,Asia,Western Asia
226,2004,3065748.0,Armenia,7229.6484,0.515489665,Asia,Western Asia
227,2005,3047254.0,Armenia,8006.9604,20.33077366,Asia,Western Asia
228,2006,3026490.0,Armenia,8798.75,20.34018377,Asia,Western Asia
229,2007,3004398.0,Armenia,9713.213,22.73582456,Asia,Western Asia
230,2008,2983425.0,Armenia,10080.8125,22.52730067,Asia,Western Asia
231,2009,2964300.0,Armenia,8399.087,29.06902122,Asia,Western Asia
232,2010,2946296.0,Armenia,8330.812,27.07300693,Asia,Western Asia
233,2011,2928984.0,Armenia,8465.0,25.90722895,Asia,Western Asia
234,1901,3755013.0,Australia,6119.0,1.16945,Oceania,Australia and New Zealand
235,1902,3815541.0,Australia,6094.0,2.54504,Oceania,Australia and New Zealand
236,1903,3874858.0,Australia,6497.0,2.8271,Oceania,Australia and New Zealand
237,1904,3935097.0,Australia,6846.0,2.58929,Oceania,Australia and New Zealand
238,1905,3996273.0,Australia,6825.0,2.59009,Oceania,Australia and New Zealand
239,1906,4058399.0,Australia,7184.0,2.48434,Oceania,Australia and New Zealand
240,1907,4121490.0,Australia,7358.0,2.37477,Oceania,Australia and New Zealand
241,1908,4185562.0,Australia,7481.0,2.76119,Oceania,Australia and New Zealand
242,1909,4254685.0,Australia,7940.0,2.42583,Oceania,Australia and New Zealand
243,1910,4329018.0,Australia,8305.0,2.66453,Oceania,Australia and New Zealand
244,1911,4408726.0,Australia,8136.0,2.67544,Oceania,Australia and New Zealand
245,1912,4493975.0,Australia,8126.0,2.87466,Oceania,Australia and New Zealand
246,1913,4584938.0,Australia,8220.0,2.890272,Oceania,Australia and New Zealand
247,1914,4677743.0,Australia,8013.0,2.995372,Oceania,Australia and New Zealand
248,1915,4772426.0,Australia,7806.0,5.013127,Oceania,Australia and New Zealand
249,1916,4869025.0,Australia,7775.0,7.187818,Oceania,Australia and New Zealand
250,1917,4967579.0,Australia,7637.0,8.874758,Oceania,Australia and New Zealand
251,1918,5069291.0,Australia,7336.0,8.874768,Oceania,Australia and New Zealand
252,1919,5171552.0,Australia,7517.0,9.727507,Oceania,Australia and New Zealand
253,1920,5274343.0,Australia,7597.0,7.992014,Oceania,Australia and New Zealand
254,1921,5377647.0,Australia,7828.0,6.933429,Oceania,Australia and New Zealand
255,1922,5481442.0,Australia,8072.0,5.895502,Oceania,Australia and New Zealand
256,1923,5585709.0,Australia,8276.0,4.927813,Oceania,Australia and New Zealand
257,1924,5691958.0,Australia,8635.0,5.13321,Oceania,Australia and New Zealand
258,1925,5800229.0,Australia,8851.0,5.57491,Oceania,Australia and New Zealand
259,1926,5910560.0,Australia,8883.0,6.19651,Oceania,Australia and New Zealand
260,1927,6022989.0,Australia,8837.0,6.03817,Oceania,Australia and New Zealand
261,1928,6137556.0,Australia,8690.0,6.36572,Oceania,Australia and New Zealand
262,1929,6240926.0,Australia,8389.0,6.30258,Oceania,Australia and New Zealand
263,1930,6332771.0,Australia,7504.0,6.92209,Oceania,Australia and New Zealand
264,1931,6412756.0,Australia,6940.0,10.9091,Oceania,Australia and New Zealand
265,1932,6480541.0,Australia,7275.0,10.36364,Oceania,Australia and New Zealand
266,1933,6535776.0,Australia,7718.0,7.40506,Oceania,Australia and New Zealand
267,1934,6591481.0,Australia,8066.0,9.03392,Oceania,Australia and New Zealand
268,1935,6647662.0,Australia,8477.0,8.63129,Oceania,Australia and New Zealand
269,1936,6704321.0,Australia,8792.0,7.95426,Oceania,Australia and New Zealand
270,1937,6761463.0,Australia,9159.0,7.52475,Oceania,Australia and New Zealand
271,1938,6819092.0,Australia,9382.0,7.32364,Oceania,Australia and New Zealand
272,1939,6887821.0,Australia,9318.0,7.92744,Oceania,Australia and New Zealand
273,1940,6967916.0,Australia,9828.0,9.4697,Oceania,Australia and New Zealand
274,1941,7059648.0,Australia,10820.0,14.2657,Oceania,Australia and New Zealand
275,1942,7163293.0,Australia,11963.0,18.62232,Oceania,Australia and New Zealand
276,1943,7279134.0,Australia,12278.0,26.15817,Oceania,Australia and New Zealand
277,1944,7396847.0,Australia,11735.0,26.07568,Oceania,Australia and New Zealand
278,1945,7516465.0,Australia,11026.0,24.21181,Oceania,Australia and New Zealand
279,1946,7638016.0,Australia,10512.0,20.51105,Oceania,Australia and New Zealand
280,1947,7761534.0,Australia,10622.0,17.12594,Oceania,Australia and New Zealand
281,1948,7887049.0,Australia,11105.0,14.27546,Oceania,Australia and New Zealand
282,1949,8025441.0,Australia,11536.0,14.0148,Oceania,Australia and New Zealand
283,1950,8177169.0,Australia,11815.0,13.32812,Oceania,Australia and New Zealand
284,1951,8419836.0,Australia,11966.0,13.992283,Oceania,Australia and New Zealand
285,1952,8632790.0,Australia,11824.0,15.515326,Oceania,Australia and New Zealand
286,1953,8819163.0,Australia,11963.0,13.999315,Oceania,Australia and New Zealand
287,1954,9003364.0,Australia,12419.0,12.558489,Oceania,Australia and New Zealand
288,1955,9209844.0,Australia,12795.0,12.157703,Oceania,Australia and New Zealand
289,1956,9429808.0,Australia,12924.0,11.920228,Oceania,Australia and New Zealand
290,1957,9644190.0,Australia,12895.0,12.280232,Oceania,Australia and New Zealand
291,1958,9853146.0,Australia,13238.0,12.160896,Oceania,Australia and New Zealand
292,1959,10065683.0,Australia,13753.0,11.353579,Oceania,Australia and New Zealand
293,1960,10286648.0,Australia,14013.0,24.17350661,Oceania,Australia and New Zealand
294,1961,10505940.0,Australia,13793.0,25.84389969,Oceania,Australia and New Zealand
295,1962,10711943.0,Australia,14389.0,25.10421009,Oceania,Australia and New Zealand
296,1963,10917377.0,Australia,14983.0,25.35476875,Oceania,Australia and New Zealand
297,1964,11131608.0,Australia,15699.0,25.92528612,Oceania,Australia and New Zealand
298,1965,11359442.0,Australia,16182.0,28.30250719,Oceania,Australia and New Zealand
299,1966,11592675.0,Australia,16324.0,27.99941007,Oceania,Australia and New Zealand
300,1967,11809114.0,Australia,17108.0,28.8071066,Oceania,Australia and New Zealand
301,1968,12027268.0,Australia,17770.0,27.67564922,Oceania,Australia and New Zealand
302,1969,12268351.0,Australia,18428.0,27.13754647,Oceania,Australia and New Zealand
303,1970,12595038.0,Australia,19166.0,27.73478196,Oceania,Australia and New Zealand
304,1971,12993837.0,Australia,19590.0,28.35908161,Oceania,Australia and New Zealand
305,1972,13300319.0,Australia,19772.0,29.35335384,Oceania,Australia and New Zealand
306,1973,13513318.0,Australia,20527.0,28.93043161,Oceania,Australia and New Zealand
307,1974,13713392.0,Australia,20698.0,33.45375824,Oceania,Australia and New Zealand
308,1975,13886865.0,Australia,20993.0,35.54661221,Oceania,Australia and New Zealand
309,1976,14038078.0,Australia,21613.0,36.15211643,Oceania,Australia and New Zealand
310,1977,14193365.0,Australia,21592.0,37.01115454,Oceania,Australia and New Zealand
311,1978,14355814.0,Australia,21948.0,36.31005085,Oceania,Australia and New Zealand
312,1979,14520529.0,Australia,22826.0,35.7996966,Oceania,Australia and New Zealand
313,1980,14706329.0,Australia,22972.0,36.74232976,Oceania,Australia and New Zealand
314,1981,14930055.0,Australia,23368.0,37.23940553,Oceania,Australia and New Zealand
315,1982,15168446.0,Australia,22972.0,40.80354689,Oceania,Australia and New Zealand
316,1983,15383079.0,Australia,22697.0,41.39937872,Oceania,Australia and New Zealand
317,1984,15579478.0,Australia,24009.0,43.22172107,Oceania,Australia and New Zealand
318,1985,15785685.0,Australia,24927.0,43.93390196,Oceania,Australia and New Zealand
319,1986,16012299.0,Australia,25116.0,43.75652296,Oceania,Australia and New Zealand
320,1987,16259251.0,Australia,25971.0,40.97498005,Oceania,Australia and New Zealand
321,1988,16525901.0,Australia,26702.0,39.53048047,Oceania,Australia and New Zealand
322,1989,16796586.0,Australia,27407.0,39.05877818,Oceania,Australia and New Zealand
323,1990,17048002.0,Australia,27373.0,40.3990529,Oceania,Australia and New Zealand
324,1991,17271092.0,Australia,26861.275,42.16800593,Oceania,Australia and New Zealand
325,1992,17462500.0,Australia,27560.178,41.70493175,Oceania,Australia and New Zealand
326,1993,17631514.0,Australia,28622.477,41.90938027,Oceania,Australia and New Zealand
327,1994,17805506.0,Australia,29844.172,41.91699031,Oceania,Australia and New Zealand
328,1995,18003002.0,Australia,30690.062,40.8874751,Oceania,Australia and New Zealand
329,1996,18211850.0,Australia,31740.47,39.38242169,Oceania,Australia and New Zealand
330,1997,18410254.0,Australia,32857.992,37.52386124,Oceania,Australia and New Zealand
331,1998,18601666.0,Australia,34337.14,37.34401246,Oceania,Australia and New Zealand
332,1999,18800892.0,Australia,35551.02,36.65006639,Oceania,Australia and New Zealand
333,2000,19017968.0,Australia,36603.047,37.64208263,Oceania,Australia and New Zealand
334,2001,19248146.0,Australia,37275.992,36.95777722,Oceania,Australia and New Zealand
335,2002,19475842.0,Australia,38567.066,36.19652507,Oceania,Australia and New Zealand
336,2003,19699004.0,Australia,39523.656,36.27667557,Oceania,Australia and New Zealand
337,2004,19925060.0,Australia,40887.727,36.18753726,Oceania,Australia and New Zealand
338,2005,20171732.0,Australia,41904.445,35.31631168,Oceania,Australia and New Zealand
339,2006,20467032.0,Australia,42650.984,35.03793491,Oceania,Australia and New Zealand
