Year,Population (England),d/day,silver purity,penny weight in g,Ag per penny g,£/kg,g. Ag/day,bread d/lb,Cost in d for 2500 Kcal,Minutes Req,Cost in Silver for 2500 Kcal Bread,min per g Ag,60 min labour in silver,60 min labour in bread
1200,3366000.0,1.37,0.93,1.446,1.34,3.12,1.8,0.091,0.1895833333,66.0,0.25,262.0,0.23,1.1
1201,3391661.452533268,1.3529663511275591,0.93,1.446000011027242,1.3400000157541647,3.1199999842491453,1.7835164788374087,0.09458044879709683,0.1970426016414422,69.86072833819438,0.2603140031945073,265.5963839394168,0.2268244401536669,1.045080014291695
1202,3418064.8045035875,1.3372735131156608,0.9300000000000002,1.4460000196039864,1.340000028007404,3.119999971998481,1.7684737401553936,0.09805413119483884,0.20427943998256384,73.55240593456779,0.27033600567912425,268.9046825589632,0.22391011582874118,0.9934755809630135
1203,3445210.0559109584,1.3229214859643048,0.93,1.4460000257302321,1.340000036759718,3.1199999632480058,1.7548717839539543,0.10142104719322596,0.21129384832336506,77.07503278912021,0.2800660074538505,271.9248958586392,0.2212570270252227,0.945186700013955
1204,3473097.206755381,1.3099102696734912,0.9299999999999999,1.4460000294059792,1.3400000420111062,3.1199999579977202,1.7427106102330903,0.10468119679225825,0.2180858266638458,80.42860890185166,0.2895040085186863,274.6570238384448,0.21886517374311168,0.9002133714445198
1205,3501726.2570368554,1.2982398642432198,0.9299999999999998,1.4460000306312284,1.340000043761569,3.1199999562476255,1.7319902189928023,0.10783457999193567,0.224655375004006,83.61313427276215,0.2986500088736316,277.10106649838,0.216734555982408,0.8585555952547084
1206,3531097.206755381,1.2879102696734912,0.93,1.4460000294059794,1.3400000420111062,3.1199999579977207,1.7227106102330907,0.11088119679225826,0.2310024933438458,86.62860890185166,0.3075040085186863,279.2570238384448,0.2148651737431117,0.8202133714445199
1207,3561210.0559109584,1.2789214859643048,0.93,1.446000025730232,1.3400000367597182,3.1199999632480058,1.7148717839539542,0.11382104719322597,0.23712718168336508,89.4750327891202,0.31606600745385055,281.1248958586392,0.21325702702522273,0.785186700013955
1208,3592064.804503587,1.2712735131156605,0.9299999999999999,1.4460000196039862,1.340000028007404,3.11999997199848,1.7084737401553935,0.11665413119483882,0.24302944002256385,92.15240593456778,0.3243360056791242,282.7046825589632,0.21191011582874114,0.7534755809630133
1209,3623661.452533268,1.2649663511275593,0.9299999999999999,1.4460000110272422,1.340000015754165,3.1199999842491453,1.703516478837409,0.11938044879709685,0.24870926836144217,94.66072833819439,0.3323140031945074,283.9963839394168,0.2108244401536669,0.7250800142916949
1210,3656000.0,1.26,0.93,1.446,1.34,3.12,1.7,0.122,0.2541666667,97.0,0.34,285.0,0.21,0.7
1211,3689080.446903783,1.2563744597329831,0.9299999999999999,1.445999986522259,1.33999998074491,3.1200000192510444,1.6979243036431668,0.12451278480354828,0.2594016350382373,99.17022091998466,0.3473939960956021,285.7155307407128,0.20943679536774046,0.6782355380879282
1212,3722902.7932446185,1.2540897303265088,0.93,1.4459999705940203,1.3399999579888942,3.120000042002279,1.69728938976691,0.12691880320774176,0.26441417337615425,101.17139109814835,0.3544959914813137,286.14297616155517,0.2091348262568883,0.6597866285554799
1213,3757467.039022505,1.253145811780577,0.9299999999999999,1.445999952215283,1.3399999317319526,3.1200000682537037,1.6980952583712283,0.12921805521258034,0.26920428171375055,103.00351053449106,0.3613059861571348,286.2823362625271,0.2090940926674435,0.6446532714026549
