Country,Code,Period,Year,GDP Per Person,Annual Average Working Hours Adjusted Composite Series,Real GDP of England at market prices,Population (England),GDP per hour per person,Real GDP (£B),Region,Real GDP of England at market prices (20-year moving average),GDP Per Person (20-year moving average),"Population (England, 20-year moving average)",GDP per hour per person (20-year moving average),Year (20-year moving average)
United Kingdom,GBR,,1565,1244,2174.56,3916000000.0,3149000,0.57,3.9,Europe,3520850000.0,1148.05,3070200.0,0.5734999999999999,1555.5
United Kingdom,GBR,,1566,1390,2193.69,4413000000.0,3174000,0.63,4.4,Europe,3573850000.0,1159.9,3083500.0,0.5735,1556.5
United Kingdom,GBR,,1567,1299,2212.98,4167000000.0,3208000,0.59,4.2,Europe,3601050000.0,1162.6,3098400.0,0.5694999999999999,1557.5
United Kingdom,GBR,,1568,1292,2232.44,4203000000.0,3252000,0.58,4.2,Europe,3636000000.0,1167.85,3113400.0,0.567,1558.5
United Kingdom,GBR,,1569,1282,2252.07,4198000000.0,3275000,0.57,4.2,Europe,3676800000.0,1175.2,3128100.0,0.5655,1559.5
United Kingdom,GBR,,1570,1175,2271.87,3873000000.0,3296000,0.52,3.9,Europe,3701500000.0,1178.0,3141850.0,0.562,1560.5
United Kingdom,GBR,,1571,1175,2291.85,3889000000.0,3310000,0.51,3.9,Europe,3729650000.0,1182.5,3154100.0,0.5595,1561.5
United Kingdom,GBR,,1572,1133,2312.01,3786000000.0,3341000,0.49,3.8,Europe,3759450000.0,1187.5,3166800.0,0.5575,1562.5
United Kingdom,GBR,,1573,1295,2332.34,4351000000.0,3361000,0.56,4.4,Europe,3789650000.0,1192.05,3179300.0,0.5545,1563.5
United Kingdom,GBR,,1574,1142,2352.85,3862000000.0,3381000,0.49,3.9,Europe,3811250000.0,1194.5,3191450.0,0.5515,1564.5
United Kingdom,GBR,,1575,1269,2373.54,4330000000.0,3413000,0.53,4.3,Europe,3856800000.0,1203.9,3204000.0,0.5509999999999999,1565.5
United Kingdom,GBR,,1576,1304,2394.41,4497000000.0,3448000,0.54,4.5,Europe,3941000000.0,1225.3,3215750.0,0.556,1566.5
United Kingdom,GBR,,1577,1103,2415.47,3848000000.0,3490000,0.46,3.8,Europe,3979600000.0,1232.45,3230000.0,0.5555,1567.5
United Kingdom,GBR,,1578,1254,2436.71,4424000000.0,3527000,0.51,4.4,Europe,4005500000.0,1232.85,3249650.0,0.5505,1568.5
United Kingdom,GBR,,1579,1231,2439.24,4383000000.0,3560000,0.50,4.4,Europe,4045600000.0,1235.45,3275800.0,0.5469999999999999,1569.5
United Kingdom,GBR,,1580,1161,2441.77,4181000000.0,3602000,0.48,4.2,Europe,4075950000.0,1234.25,3305150.0,0.5425,1570.5
United Kingdom,GBR,,1581,1119,2444.3,4063000000.0,3631000,0.46,4.1,Europe,4096550000.0,1230.05,3334900.0,0.537,1571.5
United Kingdom,GBR,,1582,998,2446.84,3664000000.0,3671000,0.41,3.7,Europe,4096850000.0,1220.35,3365000.0,0.5295,1572.5
United Kingdom,GBR,,1583,1123,2449.38,4181000000.0,3722000,0.46,4.2,Europe,4105350000.0,1211.8,3396100.0,0.522,1573.5
United Kingdom,GBR,,1584,1080,2451.92,4069000000.0,3768000,0.44,4.1,Europe,4114900000.0,1203.45,3428950.0,0.5149999999999999,1574.5
United Kingdom,GBR,,1585,944,2454.46,3585000000.0,3798000,0.38,3.6,Europe,4098350000.0,1188.45,3461400.0,0.5055000000000001,1575.5
United Kingdom,GBR,,1586,917,2457.01,3523000000.0,3841000,0.37,3.5,Europe,4053850000.0,1164.8,3494750.0,0.4925,1576.5
United Kingdom,GBR,,1587,1016,2459.56,3919000000.0,3859000,0.41,3.9,Europe,4041450000.0,1150.65,3527300.0,0.4835,1577.5
United Kingdom,GBR,,1588,1143,2462.11,4397000000.0,3847000,0.46,4.4,Europe,4051150000.0,1143.2,3557050.0,0.47750000000000004,1578.5
United Kingdom,GBR,,1589,997,2464.66,3874000000.0,3885000,0.40,3.9,Europe,4034950000.0,1128.95,3587550.0,0.469,1579.5
United Kingdom,GBR,,1590,1054,2467.22,4145000000.0,3934000,0.43,4.1,Europe,4048550000.0,1122.9,3619450.0,0.4645,1580.5
United Kingdom,GBR,,1591,1061,2469.78,4177000000.0,3938000,0.43,4.2,Europe,4062950000.0,1117.2,3650850.0,0.4605,1581.5
United Kingdom,GBR,,1592,1144,2472.34,4515000000.0,3945000,0.46,4.5,Europe,4099400000.0,1117.75,3681050.0,0.45899999999999996,1582.5
United Kingdom,GBR,,1593,1212,2474.91,4780000000.0,3943000,0.49,4.8,Europe,4120850000.0,1113.6,3710150.0,0.45549999999999996,1583.5
United Kingdom,GBR,,1594,984,2477.48,3914000000.0,3979000,0.40,3.9,Europe,4123450000.0,1105.7,3740050.0,0.45099999999999996,1584.5
United Kingdom,GBR,,1595,983,2480.05,3959000000.0,4028000,0.40,4.0,Europe,4104900000.0,1091.4,3770800.0,0.4445,1585.5
United Kingdom,GBR,,1596,932,2482.62,3783000000.0,4057000,0.38,3.8,Europe,4069200000.0,1072.8,3801250.0,0.43649999999999994,1586.5
United Kingdom,GBR,,1597,890,2485.2,3610000000.0,4055000,0.36,3.6,Europe,4057300000.0,1062.15,3829500.0,0.43150000000000005,1587.5
United Kingdom,GBR,,1598,1061,2487.77,4274000000.0,4029000,0.43,4.3,Europe,4049800000.0,1052.5,3854600.0,0.42750000000000005,1588.5
United Kingdom,GBR,,1599,1209,2490.36,4916000000.0,4065000,0.49,4.9,Europe,4076450000.0,1051.4,3879850.0,0.42700000000000005,1589.5
United Kingdom,GBR,,1600,1143,2492.94,4705000000.0,4115000,0.46,4.7,Europe,4102650000.0,1050.5,3905500.0,0.426,1590.5
United Kingdom,GBR,,1601,1130,2492.94,4704000000.0,4162000,0.45,4.7,Europe,4134700000.0,1051.05,3932050.0,0.4255,1591.5
United Kingdom,GBR,,1602,1184,2492.94,4960000000.0,4188000,0.48,5.0,Europe,4199500000.0,1060.35,3957900.0,0.429,1592.5
United Kingdom,GBR,,1603,1251,2492.94,5265000000.0,4209000,0.50,5.3,Europe,4253700000.0,1066.75,3982250.0,0.43099999999999994,1593.5
United Kingdom,GBR,,1604,1330,2492.94,5613000000.0,4219000,0.53,5.6,Europe,4330900000.0,1079.25,4004800.0,0.43550000000000005,1594.5
United Kingdom,GBR,,1605,1185,2492.94,5060000000.0,4270000,0.48,5.1,Europe,4404650000.0,1091.3,4028400.0,0.4405,1595.5
United Kingdom,GBR,,1606,1239,2492.94,5338000000.0,4310000,0.50,5.3,Europe,4495400000.0,1107.4,4051850.0,0.44700000000000006,1596.5
United Kingdom,GBR,,1607,1123,2492.94,4896000000.0,4361000,0.45,4.9,Europe,4544250000.0,1112.75,4076950.0,0.449,1597.5
United Kingdom,GBR,,1608,1063,2492.94,4674000000.0,4398000,0.43,4.7,Europe,4558100000.0,1108.75,4104500.0,0.44749999999999995,1598.5
United Kingdom,GBR,,1609,1226,2492.94,5436000000.0,4435000,0.49,5.4,Europe,4636200000.0,1120.2,4132000.0,0.45200000000000007,1599.5
United Kingdom,GBR,,1610,1298,2492.94,5774000000.0,4449000,0.52,5.8,Europe,4717650000.0,1132.4,4157750.0,0.45649999999999996,1600.5
United Kingdom,GBR,,1611,1188,2492.94,5318000000.0,4476000,0.48,5.3,Europe,4774700000.0,1138.75,4184650.0,0.45899999999999996,1601.5
United Kingdom,GBR,,1612,1133,2492.94,5096000000.0,4498000,0.45,5.1,Europe,4803750000.0,1138.2,4212300.0,0.4585,1602.5
United Kingdom,GBR,,1613,1091,2492.94,4927000000.0,4518000,0.44,4.9,Europe,4811100000.0,1132.15,4241050.0,0.45600000000000007,1603.5
United Kingdom,GBR,,1614,1052,2492.94,4752000000.0,4518000,0.42,4.8,Europe,4853000000.0,1135.55,4268000.0,0.457,1604.5
United Kingdom,GBR,,1615,1137,2492.94,5176000000.0,4553000,0.46,5.2,Europe,4913850000.0,1143.25,4294250.0,0.45999999999999996,1605.5
United Kingdom,GBR,,1616,1073,2492.94,4901000000.0,4568000,0.43,4.9,Europe,4969750000.0,1150.3,4319800.0,0.4625,1606.5
United Kingdom,GBR,,1617,1183,2492.94,5411000000.0,4574000,0.47,5.4,Europe,5059800000.0,1164.95,4345750.0,0.46799999999999997,1607.5
United Kingdom,GBR,,1618,1176,2492.94,5415000000.0,4603000,0.47,5.4,Europe,5116850000.0,1170.7,4374450.0,0.47000000000000003,1608.5
United Kingdom,GBR,,1619,1073,2492.94,4985000000.0,4646000,0.43,5.0,Europe,5120300000.0,1163.9,4403500.0,0.46699999999999997,1609.5
United Kingdom,GBR,,1620,1246,2492.94,5841000000.0,4689000,0.50,5.8,Europe,5177100000.0,1169.05,4432200.0,0.46900000000000003,1610.5
United Kingdom,GBR,,1621,1239,2492.94,5879000000.0,4745000,0.50,5.9,Europe,5235850000.0,1174.5,4461350.0,0.4715,1611.5
United Kingdom,GBR,,1622,1069,2492.94,5163000000.0,4829000,0.43,5.2,Europe,5246000000.0,1168.75,4493400.0,0.46900000000000003,1612.5
United Kingdom,GBR,,1623,1060,2492.94,5152000000.0,4859000,0.43,5.2,Europe,5240350000.0,1159.2,4525900.0,0.4655,1613.5
United Kingdom,GBR,,1624,1204,2492.94,5817000000.0,4830000,0.48,5.8,Europe,5250550000.0,1152.9,4556450.0,0.46299999999999997,1614.5
United Kingdom,GBR,,1625,1216,2492.94,5864000000.0,4822000,0.49,5.9,Europe,5290750000.0,1154.45,4584050.0,0.46349999999999997,1615.5
United Kingdom,GBR,,1626,1170,2492.94,5572000000.0,4762000,0.47,5.6,Europe,5302450000.0,1151.0,4606650.0,0.4619999999999999,1616.5
United Kingdom,GBR,,1627,1172,2492.94,5621000000.0,4797000,0.47,5.6,Europe,5338700000.0,1153.45,4628450.0,0.46299999999999997,1617.5
United Kingdom,GBR,,1628,1317,2492.94,6446000000.0,4896000,0.53,6.4,Europe,5427300000.0,1166.15,4653350.0,0.46799999999999997,1618.5
United Kingdom,GBR,,1629,967,2492.94,4812000000.0,4974000,0.39,4.8,Europe,5396100000.0,1153.2,4680300.0,0.46299999999999997,1619.5
United Kingdom,GBR,,1630,958,2492.94,4749000000.0,4959000,0.38,4.7,Europe,5344850000.0,1136.2,4705800.0,0.45600000000000007,1620.5
United Kingdom,GBR,,1631,981,2492.94,4833000000.0,4926000,0.39,4.8,Europe,5320600000.0,1125.85,4728300.0,0.45149999999999996,1621.5
United Kingdom,GBR,,1632,1102,2492.94,5499000000.0,4989000,0.44,5.5,Europe,5340750000.0,1124.3,4752850.0,0.45100000000000007,1622.5
United Kingdom,GBR,,1633,1015,2492.94,5190000000.0,5114000,0.41,5.2,Europe,5353900000.0,1120.5,4782650.0,0.4494999999999999,1623.5
United Kingdom,GBR,,1634,1027,2492.94,5318000000.0,5177000,0.41,5.3,Europe,5382200000.0,1119.25,4815600.0,0.44899999999999995,1624.5
United Kingdom,GBR,,1635,1063,2492.94,5526000000.0,5200000,0.43,5.5,Europe,5399700000.0,1115.55,4847950.0,0.44750000000000006,1625.5
United Kingdom,GBR,,1636,1032,2492.94,5253000000.0,5090000,0.41,5.3,Europe,5417300000.0,1113.5,4874050.0,0.4465,1626.5
United Kingdom,GBR,,1637,998,2492.94,5185000000.0,5196000,0.40,5.2,Europe,5406000000.0,1104.25,4905150.0,0.44299999999999995,1627.5
United Kingdom,GBR,,1638,1099,2492.94,5672000000.0,5163000,0.44,5.7,Europe,5418850000.0,1100.4,4933150.0,0.4415,1628.5
United Kingdom,GBR,,1639,1109,2492.94,5776000000.0,5207000,0.44,5.8,Europe,5458400000.0,1102.2,4961200.0,0.442,1629.5
United Kingdom,GBR,,1640,1138,2492.94,5929000000.0,5209000,0.46,5.9,Europe,5462800000.0,1096.8,4987200.0,0.43999999999999995,1630.5
United Kingdom,GBR,,1641,1014,2492.94,5202000000.0,5130000,0.41,5.2,Europe,5428950000.0,1085.55,5006450.0,0.43549999999999994,1631.5
United Kingdom,GBR,,1642,1106,2492.94,5743000000.0,5193000,0.44,5.7,Europe,5457950000.0,1087.4,5024650.0,0.43600000000000005,1632.5
United Kingdom,GBR,,1643,1167,2492.94,6147000000.0,5269000,0.47,6.1,Europe,5507700000.0,1092.75,5045150.0,0.438,1633.5
United Kingdom,GBR,,1644,1180,2492.94,6158000000.0,5218000,0.47,6.2,Europe,5524750000.0,1091.55,5064550.0,0.4375,1634.5
United Kingdom,GBR,,1645,1022,2492.94,5360000000.0,5247000,0.41,5.4,Europe,5499550000.0,1081.85,5085800.0,0.4335,1635.5
United Kingdom,GBR,,1646,1031,2492.94,5393000000.0,5231000,0.41,5.4,Europe,5490600000.0,1074.9,5109250.0,0.43050000000000005,1636.5
United Kingdom,GBR,,1647,1025,2492.94,5448000000.0,5316000,0.41,5.4,Europe,5481950000.0,1067.55,5135200.0,0.42750000000000005,1637.5
United Kingdom,GBR,,1648,1038,2492.94,5512000000.0,5309000,0.42,5.5,Europe,5435250000.0,1053.6,5155850.0,0.42200000000000004,1638.5
United Kingdom,GBR,,1649,1020,2492.94,5422000000.0,5315000,0.41,5.4,Europe,5465750000.0,1056.25,5172900.0,0.42299999999999993,1639.5
United Kingdom,GBR,,1650,978,2496.49,5195000000.0,5312000,0.39,5.2,Europe,5488050000.0,1057.25,5190550.0,0.42349999999999993,1640.5
United Kingdom,GBR,,1651,1033,2500.04,5482000000.0,5308000,0.41,5.5,Europe,5520500000.0,1059.85,5209650.0,0.4245,1641.5
United Kingdom,GBR,,1652,1163,2503.59,6270000000.0,5391000,0.46,6.3,Europe,5559050000.0,1062.9,5229750.0,0.4255,1642.5
United Kingdom,GBR,,1653,1299,2507.15,6994000000.0,5386000,0.52,7.0,Europe,5649250000.0,1077.1,5243350.0,0.43100000000000005,1643.5
United Kingdom,GBR,,1654,1287,2510.72,6839000000.0,5313000,0.51,6.8,Europe,5725300000.0,1090.1,5250150.0,0.43600000000000005,1644.5
United Kingdom,GBR,,1655,1340,2514.29,7236000000.0,5398000,0.53,7.2,Europe,5810800000.0,1103.95,5260050.0,0.44099999999999995,1645.5
United Kingdom,GBR,,1656,1241,2517.87,6689000000.0,5391000,0.49,6.7,Europe,5882600000.0,1114.4,5275100.0,0.445,1646.5
United Kingdom,GBR,,1657,1168,2521.45,6301000000.0,5395000,0.46,6.3,Europe,5938400000.0,1122.9,5285050.0,0.44800000000000006,1647.5
United Kingdom,GBR,,1658,1151,2525.04,6123000000.0,5320000,0.46,6.1,Europe,5960950000.0,1125.5,5292900.0,0.44899999999999995,1648.5
United Kingdom,GBR,,1659,974,2528.63,5132000000.0,5267000,0.39,5.1,Europe,5928750000.0,1118.75,5295900.0,0.4465,1649.5
United Kingdom,GBR,,1660,1067,2532.23,5598000000.0,5246000,0.42,5.6,Europe,5912200000.0,1115.2,5297750.0,0.4445,1650.5
United Kingdom,GBR,,1661,1089,2535.83,5749000000.0,5280000,0.43,5.7,Europe,5939550000.0,1118.95,5305250.0,0.4455,1651.5
United Kingdom,GBR,,1662,1125,2539.44,5857000000.0,5205000,0.44,5.9,Europe,5945250000.0,1119.9,5305850.0,0.4454999999999999,1652.5
United Kingdom,GBR,,1663,1325,2543.05,6848000000.0,5169000,0.52,6.8,Europe,5980300000.0,1127.8,5300850.0,0.44800000000000006,1653.5
United Kingdom,GBR,,1664,1236,2546.67,6484000000.0,5245000,0.49,6.5,Europe,5996600000.0,1130.6,5302200.0,0.449,1654.5
United Kingdom,GBR,,1665,1290,2550.29,6686000000.0,5184000,0.51,6.7,Europe,6062900000.0,1144.0,5299050.0,0.454,1655.5
United Kingdom,GBR,,1666,1444,2553.92,7550000000.0,5229000,0.57,7.6,Europe,6170750000.0,1164.65,5298950.0,0.462,1656.5
United Kingdom,GBR,,1667,1485,2557.55,7584000000.0,5106000,0.58,7.6,Europe,6277550000.0,1187.65,5288450.0,0.47050000000000003,1657.5
United Kingdom,GBR,,1668,1312,2561.19,6830000000.0,5205000,0.51,6.8,Europe,6343450000.0,1201.35,5283250.0,0.475,1658.5
United Kingdom,GBR,,1669,1347,2564.83,7002000000.0,5200000,0.53,7.0,Europe,6422450000.0,1217.7,5277500.0,0.48100000000000004,1659.5
United Kingdom,GBR,,1670,1308,2568.48,6793000000.0,5193000,0.51,6.8,Europe,6502350000.0,1234.2,5271550.0,0.487,1660.5
United Kingdom,GBR,,1671,1267,2572.13,6536000000.0,5159000,0.49,6.5,Europe,6555050000.0,1245.9,5264100.0,0.491,1661.5
United Kingdom,GBR,,1672,1258,2575.79,6466000000.0,5141000,0.49,6.5,Europe,6564850000.0,1250.65,5251600.0,0.4925,1662.5
United Kingdom,GBR,,1673,1283,2579.46,6635000000.0,5172000,0.50,6.6,Europe,6546900000.0,1249.85,5240900.0,0.4915,1663.5
United Kingdom,GBR,,1674,1221,2583.12,6334000000.0,5187000,0.47,6.3,Europe,6521650000.0,1246.55,5234600.0,0.48949999999999994,1664.5
United Kingdom,GBR,,1675,1253,2586.8,6500000000.0,5187000,0.48,6.5,Europe,6484850000.0,1242.2,5224050.0,0.487,1665.5
United Kingdom,GBR,,1676,1481,2590.48,7681000000.0,5185000,0.57,7.7,Europe,6534450000.0,1254.2,5213750.0,0.491,1666.5
United Kingdom,GBR,,1677,1372,2594.16,7126000000.0,5193000,0.53,7.1,Europe,6575700000.0,1264.4,5203650.0,0.49449999999999994,1667.5
United Kingdom,GBR,,1678,1422,2597.85,7410000000.0,5210000,0.55,7.4,Europe,6640050000.0,1277.95,5198150.0,0.499,1668.5
United Kingdom,GBR,,1679,1328,2601.55,6898000000.0,5194000,0.51,6.9,Europe,6728350000.0,1295.65,5194500.0,0.505,1669.5
United Kingdom,GBR,,1680,1494,2605.25,7718000000.0,5167000,0.57,7.7,Europe,6834350000.0,1317.0,5190550.0,0.5125,1670.5
United Kingdom,GBR,,1681,1355,2608.96,6924000000.0,5109000,0.52,6.9,Europe,6893100000.0,1330.3,5182000.0,0.517,1671.5
United Kingdom,GBR,,1682,1454,2612.67,7214000000.0,4962000,0.56,7.2,Europe,6960950000.0,1346.75,5169850.0,0.523,1672.5
United Kingdom,GBR,,1683,1571,2616.38,7779000000.0,4951000,0.60,7.8,Europe,7007500000.0,1359.05,5158950.0,0.5269999999999999,1673.5
United Kingdom,GBR,,1684,1316,2620.11,6506000000.0,4944000,0.50,6.5,Europe,7008600000.0,1363.05,5143900.0,0.5275,1674.5
United Kingdom,GBR,,1685,1427,2623.83,7154000000.0,5012000,0.54,7.2,Europe,7032000000.0,1369.9,5135300.0,0.529,1675.5
United Kingdom,GBR,,1686,1319,2627.56,6640000000.0,5036000,0.50,6.6,Europe,6986500000.0,1363.65,5125650.0,0.5255,1676.5
United Kingdom,GBR,,1687,1467,2631.3,7304000000.0,4979000,0.56,7.3,Europe,6972500000.0,1362.75,5119300.0,0.5245,1677.5
United Kingdom,GBR,,1688,1578,2635.05,7804000000.0,4946000,0.60,7.8,Europe,7021200000.0,1376.05,5106350.0,0.529,1678.5
United Kingdom,GBR,,1689,1510,2638.79,7617000000.0,5043000,0.57,7.6,Europe,7051950000.0,1384.2,5098500.0,0.5309999999999999,1679.5
United Kingdom,GBR,,1690,1614,2642.55,8132000000.0,5039000,0.61,8.1,Europe,7118900000.0,1399.5,5090800.0,0.536,1680.5
United Kingdom,GBR,,1691,1623,2646.31,8270000000.0,5094000,0.61,8.3,Europe,7205600000.0,1417.3,5087550.0,0.542,1681.5
United Kingdom,GBR,,1692,1755,2650.07,8945000000.0,5098000,0.66,8.9,Europe,7329550000.0,1442.15,5085400.0,0.5505,1682.5
United Kingdom,GBR,,1693,1486,2653.84,7610000000.0,5121000,0.56,7.6,Europe,7378300000.0,1452.3,5082850.0,0.5535,1683.5
United Kingdom,GBR,,1694,1769,2657.62,9039000000.0,5110000,0.67,9.0,Europe,7513550000.0,1479.7,5079000.0,0.5635000000000001,1684.5
United Kingdom,GBR,,1695,1692,2661.4,8648000000.0,5110000,0.64,8.6,Europe,7620950000.0,1501.65,5075150.0,0.5715,1685.5
United Kingdom,GBR,,1696,1618,2665.18,8281000000.0,5118000,0.61,8.3,Europe,7650950000.0,1508.5,5071800.0,0.5735,1686.5
United Kingdom,GBR,,1697,1597,2668.97,8222000000.0,5150000,0.60,8.2,Europe,7705750000.0,1519.75,5069650.0,0.5770000000000001,1687.5
United Kingdom,GBR,,1698,1635,2672.77,8462000000.0,5177000,0.61,8.5,Europe,7758350000.0,1530.4,5068000.0,0.58,1688.5
United Kingdom,GBR,,1699,1572,2676.57,8158000000.0,5190000,0.59,8.2,Europe,7821350000.0,1542.6,5067800.0,0.584,1689.5
United Kingdom,GBR,,1700,1668,2680.38,8668000000.0,5196000,0.62,8.7,Europe,7868850000.0,1551.3,5069250.0,0.5865,1690.5
United Kingdom,GBR,,1701,1812,2682.69,9444000000.0,5211000,0.68,9.4,Europe,7994850000.0,1574.15,5074350.0,0.5945,1691.5
United Kingdom,GBR,,1702,1793,2685.0,9198000000.0,5131000,0.67,9.2,Europe,8094050000.0,1591.1,5082800.0,0.6,1692.5
United Kingdom,GBR,,1703,1637,2687.31,8607000000.0,5259000,0.61,8.6,Europe,8135450000.0,1594.4,5098200.0,0.6005,1693.5
United Kingdom,GBR,,1704,1948,2689.62,10244000000.0,5258000,0.72,10.2,Europe,8322350000.0,1626.0,5113900.0,0.6115,1694.5
United Kingdom,GBR,,1705,1854,2691.94,9721000000.0,5244000,0.69,9.7,Europe,8450700000.0,1647.35,5125500.0,0.619,1695.5
United Kingdom,GBR,,1706,1543,2694.26,8230000000.0,5334000,0.57,8.2,Europe,8530200000.0,1658.55,5140400.0,0.6224999999999999,1696.5
United Kingdom,GBR,,1707,1736,2696.58,9245000000.0,5324000,0.64,9.2,Europe,8627250000.0,1672.0,5157650.0,0.6265000000000001,1697.5
United Kingdom,GBR,,1708,1851,2698.9,9838000000.0,5315000,0.69,9.8,Europe,8728950000.0,1685.65,5176100.0,0.631,1698.5
United Kingdom,GBR,,1709,1605,2701.22,8521000000.0,5310000,0.59,8.5,Europe,8774150000.0,1690.4,5189450.0,0.632,1699.5
United Kingdom,GBR,,1710,1437,2703.55,7745000000.0,5390000,0.53,7.7,Europe,8754800000.0,1681.55,5207000.0,0.6279999999999999,1700.5
United Kingdom,GBR,,1711,1569,2705.87,8443000000.0,5382000,0.58,8.4,Europe,8763450000.0,1678.85,5221400.0,0.6265,1701.5
United Kingdom,GBR,,1712,1587,2708.2,8434000000.0,5314000,0.59,8.4,Europe,8737900000.0,1670.45,5232200.0,0.623,1702.5
United Kingdom,GBR,,1713,1520,2710.54,8070000000.0,5310000,0.56,8.1,Europe,8760900000.0,1672.15,5241650.0,0.623,1703.5
United Kingdom,GBR,,1714,1645,2712.87,8875000000.0,5394000,0.61,8.9,Europe,8752700000.0,1665.95,5255850.0,0.6199999999999999,1704.5
United Kingdom,GBR,,1715,1598,2715.21,8624000000.0,5398000,0.59,8.6,Europe,8751500000.0,1661.25,5270250.0,0.6174999999999999,1705.5
United Kingdom,GBR,,1716,1648,2717.54,8948000000.0,5428000,0.61,8.9,Europe,8784850000.0,1662.75,5285750.0,0.6174999999999999,1706.5
United Kingdom,GBR,,1717,1738,2719.88,9450000000.0,5437000,0.64,9.5,Europe,8846250000.0,1669.8,5300100.0,0.6195,1707.5
United Kingdom,GBR,,1718,1818,2722.23,9982000000.0,5491000,0.67,10.0,Europe,8922250000.0,1678.95,5315800.0,0.6225,1708.5
United Kingdom,GBR,,1719,1773,2724.57,9804000000.0,5530000,0.65,9.8,Europe,9004550000.0,1689.0,5332800.0,0.6255,1709.5
United Kingdom,GBR,,1720,1892,2726.92,10427000000.0,5510000,0.69,10.4,Europe,9092500000.0,1700.2,5348500.0,0.629,1710.5
United Kingdom,GBR,,1721,1820,2729.26,10018000000.0,5503000,0.67,10.0,Europe,9121200000.0,1700.6,5363100.0,0.6285000000000001,1711.5
United Kingdom,GBR,,1722,1839,2731.61,10123000000.0,5506000,0.67,10.1,Europe,9167450000.0,1702.9,5381850.0,0.6285000000000001,1712.5
United Kingdom,GBR,,1723,1788,2733.97,9877000000.0,5523000,0.65,9.9,Europe,9230950000.0,1710.45,5395050.0,0.6305000000000001,1713.5
United Kingdom,GBR,,1724,1765,2736.32,9776000000.0,5540000,0.64,9.8,Europe,9207550000.0,1701.3,5409150.0,0.6265,1714.5
United Kingdom,GBR,,1725,1804,2738.68,10029000000.0,5558000,0.66,10.0,Europe,9222950000.0,1698.8,5424850.0,0.625,1715.5
United Kingdom,GBR,,1726,1735,2741.03,9718000000.0,5602000,0.63,9.7,Europe,9297350000.0,1708.4,5438250.0,0.628,1716.5
United Kingdom,GBR,,1727,1716,2743.39,9656000000.0,5628000,0.63,9.7,Europe,9317900000.0,1707.4,5453450.0,0.6275,1717.5
United Kingdom,GBR,,1728,1784,2745.76,9949000000.0,5578000,0.65,9.9,Europe,9323450000.0,1704.05,5466600.0,0.6255,1718.5
United Kingdom,GBR,,1729,1715,2748.12,9394000000.0,5478000,0.62,9.4,Europe,9367100000.0,1709.55,5475000.0,0.627,1719.5
United Kingdom,GBR,,1730,1772,2750.49,9607000000.0,5421000,0.64,9.6,Europe,9460200000.0,1726.3,5476550.0,0.6325000000000001,1720.5
United Kingdom,GBR,,1731,1746,2752.85,9452000000.0,5414000,0.63,9.5,Europe,9510650000.0,1735.15,5478150.0,0.635,1721.5
United Kingdom,GBR,,1732,1868,2755.22,10078000000.0,5395000,0.68,10.1,Europe,9592850000.0,1749.2,5482200.0,0.6395000000000001,1722.5
United Kingdom,GBR,,1733,1894,2757.6,10299000000.0,5438000,0.69,10.3,Europe,9704300000.0,1767.9,5488600.0,0.646,1723.5
United Kingdom,GBR,,1734,1860,2759.97,10259000000.0,5515000,0.67,10.3,Europe,9773500000.0,1778.65,5494650.0,0.6489999999999999,1724.5
United Kingdom,GBR,,1735,1801,2762.35,10014000000.0,5561000,0.65,10.0,Europe,9843000000.0,1788.8,5502800.0,0.6519999999999999,1725.5
United Kingdom,GBR,,1736,1921,2764.73,10756000000.0,5599000,0.69,10.8,Europe,9933400000.0,1802.45,5511350.0,0.6559999999999999,1726.5
United Kingdom,GBR,,1737,1808,2760.61,10177000000.0,5629000,0.65,10.2,Europe,9969750000.0,1805.95,5520950.0,0.6565,1727.5
United Kingdom,GBR,,1738,1834,2756.49,10365000000.0,5652000,0.67,10.4,Europe,9988900000.0,1806.75,5529000.0,0.6565,1728.5
United Kingdom,GBR,,1739,1811,2752.39,10294000000.0,5684000,0.66,10.3,Europe,10013400000.0,1808.65,5536700.0,0.657,1729.5
United Kingdom,GBR,,1740,1772,2748.29,10119000000.0,5712000,0.64,10.1,Europe,9998000000.0,1802.65,5546800.0,0.6545,1730.5
United Kingdom,GBR,,1741,1819,2744.19,10412000000.0,5723000,0.66,10.4,Europe,10017700000.0,1802.6,5557800.0,0.654,1731.5
United Kingdom,GBR,,1742,1880,2740.1,10649000000.0,5664000,0.69,10.6,Europe,10044000000.0,1804.65,5565700.0,0.655,1732.5
United Kingdom,GBR,,1743,1837,2736.02,10396000000.0,5660000,0.67,10.4,Europe,10069950000.0,1807.1,5572550.0,0.6559999999999999,1733.5
United Kingdom,GBR,,1744,1800,2731.94,10249000000.0,5695000,0.66,10.2,Europe,10093600000.0,1808.85,5580300.0,0.657,1734.5
United Kingdom,GBR,,1745,1808,2727.87,10397000000.0,5750000,0.66,10.4,Europe,10112000000.0,1809.05,5589900.0,0.657,1735.5
United Kingdom,GBR,,1746,1854,2723.81,10722000000.0,5782000,0.68,10.7,Europe,10162200000.0,1815.0,5598900.0,0.6595,1736.5
United Kingdom,GBR,,1747,1931,2719.75,11208000000.0,5805000,0.71,11.2,Europe,10239800000.0,1825.75,5607750.0,0.6635000000000001,1737.5
