Entity,Code,Year,Median (2017 prices) - Income or consumption consolidated,1039538-annotations,"GDP per capita, PPP (constant 2017 international $)",Population (historical),World regions according to OWID,time,time,time,time
Mauritius,MUS,2022,12.731154,,22143.826,1276075,Africa,2022,2023,2017,2017
Mexico,MEX,2022,11.628478,,20254.781,128613066,North America,2022,2023,2022,2022
Moldova,MDA,2022,10.60901,,13703.939,3039946,Europe,2022,2023,2021,2021
Mongolia,MNG,2022,10.326545,,12073.245,3385971,Asia,2022,2023,2022,2022
Montenegro,MNE,2022,16.274788,,20710.535,614603,Europe,2022,2023,2021,2021
Mozambique,MOZ,2022,1.2939788,,1290.1674,32656190,Africa,2022,2023,2019,2019
Myanmar,MMR,2022,5.47138,,4670.0806,53756739,Asia,2022,2023,2017,2017
Nepal,NPL,2022,7.4121175,,4001.7,29715383,Asia,2022,2023,2022,2022
Netherlands,NLD,2022,59.726303,,57334.703,17904367,Europe,2022,2023,2021,2021
Niger,NER,2022,2.1318378,,1186.53,25311922,Africa,2022,2023,2021,2021
Nigeria,NGA,2022,2.9532702,,5089.778,223150851,Africa,2022,2023,2018,2018
North Macedonia,MKD,2022,13.475552,,16773.143,1840196,Europe,2022,2023,2019,2019
Norway,NOR,2022,65.29984,,64983.355,5456753,Europe,2022,2023,2019,2019
Pakistan,PAK,2022,4.0731707,,5113.434,243700616,Asia,2022,2023,2018,2018
Panama,PAN,2022,19.199842,,30416.793,4400715,North America,2022,2023,2021,2021
Paraguay,PRY,2022,12.639644,,13531.396,6760399,South America,2022,2023,2022,2022
Peru,PER,2022,9.394887,,12743.942,33475381,South America,2022,2023,2022,2022
Philippines,PHL,2022,4.9763155,,8095.5796,113964291,Asia,2022,2023,2021,2021
Poland,POL,2022,33.879444,,34944.04,38385689,Europe,2022,2023,2021,2021
Portugal,PRT,2022,29.239334,,33636.44,10417030,Europe,2022,2023,2021,2021
Qatar,QAT,2022,74.374855,,92177.59,2892419,Asia,2022,2023,2017,2017
Romania,ROU,2022,23.197407,,30946.277,19166726,Europe,2022,2023,2021,2021
Russia,RUS,2022,17.48153,,26586.555,145579843,Europe,2022,2023,2020,2020
Sao Tome and Principe,STP,2022,3.998577,,3373.2642,226265,Africa,2022,2023,2017,2017
Senegal,SEN,2022,4.4646606,,3511.6375,17651046,Africa,2022,2023,2021,2021
Serbia,SRB,2022,16.992344,,19860.31,6791172,Europe,2022,2023,2021,2021
Seychelles,SYC,2022,19.497965,,28080.635,125480,Africa,2022,2023,2018,2018
Sierra Leone,SLE,2022,2.9593496,,1610.3232,8276759,Africa,2022,2023,2018,2018
Slovakia,SVK,2022,23.478302,,32512.695,5473145,Europe,2022,2023,2021,2021
Slovenia,SVN,2022,43.440727,,40104.36,2115184,Europe,2022,2023,2021,2021
South Korea,KOR,2022,50.183186,,44299.91,51782473,Asia,2022,2023,2021,2021
Spain,ESP,2022,41.36567,,38319.29,47828339,Europe,2022,2023,2021,2021
Sri Lanka,LKA,2022,6.91304,,13639.021,22834913,Asia,2022,2023,2019,2019
Suriname,SUR,2022,13.008748,,15047.614,623128,South America,2022,2023,2022,2022
Sweden,SWE,2022,51.530468,,54160.367,10487289,Europe,2022,2023,2021,2021
Switzerland,CHE,2022,65.79692,,67928.195,8792128,Europe,2022,2023,2020,2020
Tanzania,TZA,2022,2.3307555,,2511.8293,64711777,Africa,2022,2023,2018,2018
Thailand,THA,2022,12.927706,,17087.21,71735273,Asia,2022,2023,2021,2021
Togo,TGO,2022,3.2011387,,2130.859,9089693,Africa,2022,2023,2021,2021
Tonga,TON,2022,9.959987,,6142.9634,105012,Oceania,2022,2023,2021,2021
Tunisia,TUN,2022,11.934058,,10395.913,12119284,Africa,2022,2023,2021,2021
Turkey,TUR,2022,19.567127,,31722.16,87058421,Asia,2022,2023,2021,2021
Uganda,UGA,2022,2.4753115,,2250.015,47312665,Africa,2022,2023,2019,2019
Ukraine,UKR,2022,12.599212,,12407.79,41048717,Europe,2022,2023,2020,2020
United Kingdom,GBR,2022,46.870113,,45567.57,68179267,Europe,2022,2023,2021,2021
United States,USA,2022,62.40085,,64623.125,341533996,North America,2022,2023,2022,2022
Uruguay,URY,2022,20.99745,,24426.66,3390863,South America,2022,2023,2022,2022
Uzbekistan,UZB,2022,12.050619,,8073.2104,34938911,Asia,2022,2023,2022,2022
Vanuatu,VUT,2022,4.6742573,,3070.404,313014,Oceania,2022,2023,2019,2019
Vietnam,VNM,2022,11.452532,,11396.531,99680606,Asia,2022,2023,2022,2022
Zambia,ZMB,2022,1.4850891,,3365.8738,20152890,Africa,2022,2023,2022,2022
Zimbabwe,ZWE,2022,2.6548173,,2203.3967,16069010,Africa,2022,2023,2019,2019
